questions,answers
"asking about pm kisan samman nidhi yojona
",visit district agriculture office as your account is deactivated
asking about chilli disease,"--burn the effected plants in a separate area and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval

"
asking about leaf curl virus of chilli,burn the effected plants in a separate area and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval
asking that his local chicks are suffering.,1. tetracyclin poder 100gm pkt.@ 1 gm in 1 lit. water for 7 days. 2. vimeral 60 ml @ 10 ml orally daily.
"asking about chilli leaf curl virus

",--burn the effected plants in a separate area and spray imidachloroprid to the plants (0.5gm/lit of water) @ 3 sprays at 5 days interval
tell me information drum stick  cultivation   ?,सहजन की फसल में बीजो की रोपाई के लिए शाखा के दोनों टुकड़ो का प्रबर्द्धन करना चाहिए | वर्ष में दो बार फसल को प्राप्त करने के लिए बीज से प्रबर्द्धन करना उपयुक्त माना जाता है |
how to apply fertilizer dose in arecanut,apply the mixture of fertilizers including borax in ring method at a distance of 2ft
asking for veterinary expert.,transfer to veterinary expert.
query regarding liver tonic for pig.,liv-52.
query regarding insect infestation in chilli.,spray profex super (2ml/lit of water) @ 3 spray at 5 days interval.
asking about control of pest infestation.,spray profex super @2ml/l water. 3 spray at 3 days interval.
query regarding fungal infection in chilli.,spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain.
asking about ridge gourd infestation,burn the infected fruits and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval
"asking about powdery mildew in mustard

",spray blitox (2gm/lit of water) @ 3 sprays at 5 days interval
query regarding chilli,spray pegasus @ 2g/liter 3 times at 5 days interval in the evening time in the absence of rain.
asking about alternative  of tilt fungicides,suggested composition of propiconazole or hexaconazole  @ 2gm/l of water
asking about nutrient management in arecanut ,"suggested to apply urea-200 g ssp-300 g, mop-150 g borax-50 g per plant by making a ring at a distance of 1 ft around the base of the plam"
asking for plant protection of gourd,do ooze test (dip the effected part in a glass of water and keep for 45 minutees). if ooze comes out then spray streptomycin (1ml/5 lit of water) @ 3 sprays at 5 days interval and if ooze don’t show in the water then spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval
asking for planting distance of coconut,"coconut planting distance = 7m x 7m, pit size= 1m x 1m x 1m . pit should be filled with top soil and dry cowdung and 100g 5% malathion dust. fertilizer should be given at  1.5 m away from the plant,"
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days "
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days "
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days "
farmer asking query regarding control of blight in betelvine.,spray or also apply near the root zone bordeux mixture @ 3ml/liter 3 times at 5 days interval in the evening time in absence of rain.
asking that his 8-month old goat is suffering from skin disease.,"tr.: 1. neomec inj. 1 ml i/m ly, 2. avil inj. 10 ml @ 2 ml i/m ly daily for 3 days, 3. enrox inj. 10 ml @ 3 ml i/m ly daily for 3 days."
asking that her ducks are suffering.,"tr.: 1. dexona tab. 10. 2. cipro tab. 3. neurobion tab, 4. sulcoprim bl.4 no.s @ 1 bl. orally twice daily."
farmer asking query regarding control of leaf curl in chilli.,spray tafgor/decis 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain.  sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end.
asking for application of mahafol,spray mohafol (2gm/lit of water) @ 2 sprays at 15 days interval
farmer asking query regarding pmkisan.,11th number installment is not released till now from govt.
asking about vitamin for pumpkin,--spray planofix (1ml/5lit of water) @ 2 sprays at 15 days interval and  npk19all (10gm/lit of water) @ 2 sprays at 15 days interval
farmer asking query regarding control of leaf curl and yellowing of leaves.,"for leafcurl: spray tafgor (dimethoate 30 ec) (2ml/lit of water) @ 3 spray at 5 days interval.
for fungal infection: spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain."
query regarding disease management of pig.,"advise: 1. swine fever vaccine, 2. albendazole suspension 30 ml 5no.s @ 30 ml to larg, 15 ml to small, orally in empty stomach, 3. liv-52 1 lit. @ 50 ml to large, 10 ml to small, orally daily."
"asking about blight in brinjal
","spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval
"
asking about control of fruit fly infestation.,spray emmamectin benzoate @2ml/l water. 3 spray at 3 days interval.
farmer asking query regarding control of fungal infection in papaya.,spray contaf fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.
farmer asking query regarding pmkisan.,either details are not registered in the portal or rejected due to wrong details.
farmer asking query regarding pmkisan.,either details are not registered in the portal or rejected due to wrong details.
asked about fish feed and manure for plankton production,"feed for new fish or young fish - rice bran: mustard oil cake @ 1:1- 3% to 5 % per body weight of fish
feed after few months(during growth) - use supplimentary or artificial feed depending on the mouth size of fish @ 35 to 5% per body weight
manuring or fertilization - cowdung @ 130 kg per bigha per month or pig manure @ 60 kg per bigha per month depending on the water colour. followed by urea @ 3.5 kg and ssp @ 2.6 kg per bigha per month after 7 days of application of cowdung or pig manure
 green water colour - fertilization required 
for now use "
farmer asking query regarding pmkisan.,your account is active.
farmer asking query regarding pmkisan.,11th number installment is not release by govt. yill now.
query regarding pm kisan.,--visit dist. agri. office.
asking that his birds are suffering.,tr.: ambiplex 1 lit. @ 100 ml orally daily.
asking about control measure of fusarium wilt,suggested to spray agrimycine @ 1 g per 5 lit of water and also spray copper oxy chloride @ 2 g per lit of water
asking about control of wilt,spray upl saaf @2gm/l water. 3 spray at 3 days interval.
query regarding control of insect infestation in brinjal.,in flowering and fruiting stage if this disease is occur then spray neem oil 5ml/liter of water 3 times @ 3 days interval in the evening time.
farmer asking query regarding control of flower drop in cardamom.,spray planofix (1ml/5lit of water) @ 2 sprays at 15 days interval.
farmer asking query regarding control of insect in bitter gourd.,spray tafgor (dimethoate 30 ec) (2ml/lit of water) @ 3 spray at 5 days interval.
asking about control measure of wilt,suggested to spray agrimycine @ 1 g per 5 lit of water and also saaf @ 2 g per lit of water
asking for disease of bhoot jolokia,--spray trichoderma viridae at root zone for better effective @ 2gm/l of water @ 3 spray @ 5 days interval
regarding sowing time for maize,the optimum planting date is between 15th march and 15th may
regarding cultivable varieties of cowpea,"varieties of cowpea introduced by east west seeds,syngenta are preferable"
farmer asking query regarding control of wilting in chilli.,"first you have to do the ooze test - dip the affected part in a glass of water and keep it for 30 minutes. if ooze comes out and the water become yellowish white, then spray also apply tetracyclin/ streptocyclin (1gram/5 lit of water), near the root zone 3 times at 5 days interval and if ooze don’t show in the water, and the water remains clean then spray and also apply saaf (2 gram/lit of water) near the root zone 3 times at 5 days interval."
regarding sowing time of bahadur sub-1,sowing time of bahadur sub-1 - june and transplantation can be done after 30-35 days of sowing
asking for crop protection against catterpillar like pest,fame or emmamectin benzoate @ 1.5ml/lit of water @ 3 spray at 5 days interval
asking about control measure of fusarium wilt and rice variety for flooded condition ,suggested to spray saaf @ 2 g per lit of water twice after 3 days interval for fusarium wilt and also go for ranjit sub 1 or swarna sub 1 variety which are best suited for flooded condition in assam
asking about control measure of green peach aphid,suggested to spray rogor @ 2 ml per lit of water twice after 3 days interval
query regarding availability of govt. supplied tractor.,please visit your nearest agriculture office for further enquiry.
"asking that his 1, 3-month old piglet is suffering from offed. ","tr.: 1. dexona inj. 5ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. feroliv 200 ml @ 10 ml orally twice daily.4. vimeral 60 ml @ 5 ml orally daily."
asking about the cercospora leaf spot ,"spray amister @2ml/l water. also, spray pgr planofix @2ml/4.5l water."
asking about dose of amistar syngenta,spray amistar @ 2ml/l water. 3 spray at 3 days interval.
asking about control measure of little leaf and fruit rot,suggested spray rogor @ 2 ml per lit of water for little leaf and saaf @ 2 g per lit of water for fruit rot twice after 5 days interval
asking about rice variety suitable for flooded condition ,suggested to go for ranjit sub 1 or swarna sub 1 which is suitable for floded condition 
"asking that his 1-month old calf is suffering from diarrhea, offed.","tr.: 1. avil inj.10ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. vita-ad3e inj. 5 ml 2 no.s @ 2 ml i/m ly at alt. day. 4. liv-52 500 ml @ 10 ml orally twice daily."
asking about nutrient deficiency in ber,suggested to spray tracel @ 2 g per lit of water twice after 15 days interval 
asking for mushroom,--please visit krishi vigyan kendra in your nearest locality for further information and demonstration
asking for plant protection of okra,spray imidacloprid @ 1.5 ml/l of water @ 3 spray @ 5 days of interval
asking that his pigs are suffering from skin problem.,"tr.: 1. chloril 30 ml @ 2-3 ml i/m ly daily for 3-4 days to each, 2. enrox 30 ml @ 3 ml i/m ly daily for 3-4 days to each, 3. vimeral 60 ml bottle @ 5 ml orally daily to each."
regarding the appliance of mahaphal in chilli,"spray mahaphal @ 2ml/litre water,3 sprays at an interval of 10 days"
asking for sowing of rice in sandy soil,visit district agri office for further queries
asking for plant protection of colocassia,spray trichoderma viridie @ 2 gm/l water @ 3 spray @ 5 days interval
asking about control of blast of rice.,spray bavistin @2gm/l water. 3 spray at 3 days interval.
asking for falling of fruits,-spray mohafol (2gm/lit of water) @ 2 sprays at 15 days interval
asking about nutrient management in tea ,suggested to spray tracel @ 2 g per lit of water twice after 7 days interval
pm kisan samman nidhi schme status,either details are not registered in the portal or rejected due to wrong details.
asking that his 3-month old piglet is suffering from skin problem.,"tr.: 1. avil inj. 10 ml @ 3 ml i/m ly daily, 2. enrox inj. 10 ml @ 3 ml i/m ly daily, 3. himax oint. 1 tube apply externally, 4. vimeral 60 ml @ 5 ml orally twice daily."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding electricity for broiler farm.,approach electricity department.
asking about the control of white fly,spray dimethoate (rogor or tapgor) @2ml/l water. spray at 3 days interval.
farmer asking query regarding nutrient management in chilli.,spray npk 19:19:19 10 gram/liter of water 2 times at 15 days interval in the evening time. after completion of this. please spray one vitamins like- mohaphol/sagorika/biovita 2 ml/liter of water at 15 days interval continously up to the end of the season.
query regarding tea culture practices.,visit the district tea board.
"asking that his milk of the cows contain low fat, heifer not coming to heat.","to improove milk quality: 1. ostovet 5 lit. @ 100 ml orally daily, 2. vimeral 120 ml @ 10 ml orally daily. to introduce heat: first: prajana/sajani 1 pkt. @ 2 cap. orally daily, repeat on 11th day if needed. or, 2ndly: 1. tonoricin 30 ml @ 10 ml i/m ly at alt. day, 2. vimeral 5 ml 3 no.s @ 5 ml i/m ly at alt. day."
 query regarding fooder for  cattle & goat ," napier , bajra , guinea , para , teosintae . maize -- etc can be use as fooder for cattle & for goat "
query regarding water quality.,"immediately stop the application of feed and fertilization, manually (netting, siphoning), liming- 160 kg/bigha (5-6 ph), 133 kg/bigha (6-6.5 ph), 55kg/bigha (6.5-7.5 ph). 1/3 rd of whole quantity applied 1st installment remaining quantity divided into 11 equal installment applied monthly basis."
asking for fruit fly infestation in guava,--spray rogor or malathion @ 2gm/l of water @ 3 spray @ 5 days of interval. also can make poison bait with jaggery. water and rogor (3ml) in a plastic bottle and cnan hang it. also can buy pheromne trap for fruit fly.
asking about the application of nutrients.,"spray mahaphal, crop booster, or tata tracel2 @2gm/l water as nutrients."
"asking that his 1 sow is suffering from offed, and another is not coming to heat.","tr.: 1. dexona 5 ml @ 2.5 ml i/m ly daily, 2. enrox/c-flox 30 ml @ 6 ml i/m ly daily, 3. feroliv 1 lit. @ 50 ml orally twice daily.
to bring to hat: 1. tonoricin 30 ml @ 8 ml i/m ly at alt. day, 2. vita ad3e 5 ml 3 no.s @ 5 ml i/m ly at alt. day."
query regarding fish mortality.,apply 1ppm (mg/lit) potash as disinfectant to prevent and control of disease.
query regarding fish mortality due to disease (bacterial septicemia),treatment (bacterial septicemia)- apply  1ppm potash (mg/lit). 3gm of tetramycin mix per kg of feed for 8-10 days.
asking about the root dip treatment ,make a solution with tricel @2ml/l water and add 10gm urea. mix properly. dip thee seedling for 15 min.
farmer asking query regarding application of tracel and nano urea in tea.,spray nano urea @ 3 ml/l or tata tracel @ 3 g/l of water 2 times at 15 days interval.
asking about the control of fungal disease.,spray hexaconazole or propiconazole @2ml/l water. 3 spray at 3 days interval.
asking about the nutrients application in ridge gourd,spray pgr planofix @2ml/4.5 l water. also spray crop booster or tracel2 @2gm/l water.
asking that his 3-month old piglets are suffering from poor health.,"tr.: 1. liv-52 1 lit. @ 10 ml orally daily in the morning, 2. vimeral 60 ml @ 5 ml orally daily in the evening."
asking about root stock for grafting purpose,suggested to use trifoliate orange as a root stock for grafting purpose
farmer asking query regarding control of insect infestation rice seedlings.,spray parathion @ 2 ml/liter 3 times at 5 days interval in absence of rain.
query regarding suspected bird flu in a flock  &  anicoccidiosis preperation ,"..tod him to use tami flu @ mg / kg for  days , tetracycline powder @1 g / lits of water for  days , groviplex @  ml /  birds for- days . for coccidisis -- amprolium powder 9.6%, as preventive dose -  6 g / lits of water for 7 days "
asking about the agricultural training in department.,"visit the agriculture department or krishi vigyan kendra , dibrugarh"
asking about the control of stored grain pest.,spray neem products like nemacin or neemacide @2ml/l water. 3 spray at 3 days interval.
farmer asking query regarding nutrient management in rice seedling.,spray saaf fungicide @ 2 g/liter 3 times at 5 days interval in absence of rain. also spray npk 19:19:19 10 gram/liter of water 2 times at 15 days interval in the evening time. 
farmer asking query regarding kcc.,"first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak. "
askinhg for tea expert,contact tea expert in your nearest place
asking that his sow is suffering from offed.,"tr.: 1. dexona inj. 5 ml 2 no.s @ 4-5 ml i/m ly daily, 2. c-flox/enrox 30 ml @ 6 ml i/m ly daily, 3. anistamine 30 ml @ 6 ml i/m ly daily, 4. feroliv 1 lit. @ 50 ml orally twice daily."
farmer asking query regarding fertilizer dose of paddy.,"apply urea 18 kg, ssp 17 kg and mop 9 kg/bigha. whole of ssp and mop is to be applied as basal and 1/3 urea as basal and 1/3 at the time of tillering and the remaining part at panicle initiation stage are to be applied."
farmer asking query for conducting training for school students.,please contact kvk of your district. contact no. 9435564391 (head- dr. hiranya k. bhattacharyya)
asking for nutrient management,apply urea:ssp:mop @ 600gm:1kg:900gm @ 2 split doses @ june july and december january
 query regarding some piglet showing the signs of  pyrexia of unknown origin [puo],told him to inject enrocin 15 ml & dexona 2 ml intra mascularly for 3 days depending upon the weight of the piglet / inject zeronac m 10 ml - 0.5-1 ml to each piglet depending upon the body weight / liv -52 syrup - 5 ml orally daily for 10 days from the 2 nd day of treatment 
farmer asking query regarding cold storage.,please visit your nearest agriculture office for further enquiry.
asking about the control of pest in paddy.,spray tricel @2ml/l water. 3 spray at 3 days interval.
farmers asking query regarding fertilizer dose of paddy.,"apply urea 18 kg, ssp 17 kg and mop 9 kg/bigha. whole of ssp and mop is to be applied as basal and 1/3 urea as basal and 1/3 at the time of tillering and the remaining part at panicle initiation stage are to be applied."
 query regarding some kids ,"told him ton inject enrodac -10------ -10 ml- --0.8-1 ml  intra mascularly  daily for 3 days , inject anistamin -10 ml -..2 ml intra mascularly for 3 days with enrodac 10, wash the face with potash solution & apply topicure spray on the affected area  "
asking for seedling of rice protection,"spray saaf @ 2ml/l of water @ 2 spray @ 5 days of interval
spray npk 19 all @ 3gm/l of water @ 1 spray"
farmer asking query regarding sowing time of rainy season okra.,sowing time: may-july.
asking for dose of npk,mix 10gm/l of water and spray @ 1 spray
query regarding pond management.,"immediately stop the application of feed and fertilization, manually (netting, siphoning), liming- 26.6 kg/katha/year (6-6.5ph),1/3 rd of whole quantity applied 1st installment remaining quantity divided into 11 equal installment applied monthly basis."
query regarding water pollution.,"1.immediately stop application of feeding and fertilizers.
2.critical stage(under, severe stress): immediately change the water @ 30% or give aeration using aerators. 
*if there is no provision for replenishing the water or there is no chance for artificial aeration and if the water level is above 1m:  potassium permanganate @ 250 grams/ 0.1 ha and agitate the surface with bamboo. 
increase oxygen level-
1.oxy more tablets (20 tablet per bigha or 200 gram per bigha )
2.oxy plus– tab (fish ponds : 600 gm per acre).
"
query regarding water quality deterioration.,immediately stop feeding and fertilizers application. apply lime 2kg/kotha/month. use potash 4-5 mg/lit. also can use toximar @1 kg/kotha.
farmer asking query regarding nutrient management in ber.,sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end. also apply borax @ 25 g/plant.
farmer asking query regarding fertilizer dose of paddy.,"urea-12 kg, dap-18 kg, potash-9 kg per bigha. apply half of urea and full dose of dap and potash at the time of final land preparation. remaining 1/3rd of urea at 30 dat another 1/3rd 60 dat."
"asking about fungal disease in bottle gourd
","--spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval
"
asking about the doses and time of boron application.,boron dose @25gm per plant during mar-apr and sept-oct
asking about other sches for tea sector plantation,--visit district agriculture office for further information on the schemes
asking about plant protection in bottle bgound,spray hexaconazole @ 2ml/l of water @ 3 spray @ 5 days of interval between the 3 spray
farmer asking query regarding nutrient ,sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end.
asking that he has 50 no.s 3-4 month old local chicks. 304 of them are suffering from white diarrhea.,tr. 1. sulcoprim/trimethoprim bl. 4 no.s @ 1 bl. orally twice daily for all. 2. after being normal give r2b vaccine @ 1/2 ml i/m ly to each.
asking about gourd disease,spray malathion or rogor @ 2ml/l of water @ 3 spray @ 5 days of interval
query regarding pig farming ," for a sty or pan the following are pre requsite thing ,-- like land for condtruction of pan /sty , cost of [ construction of pan / sty , feed s, utensil & appliances , medicine & vaccine , insurance of the farm animal , labour etc ]"
query regarding pig farming ," for a sty or pan the following are pre requsite thing ,-- like land for condtruction of pan /sty , cost of [ construction of pan / sty , feed s, utensil & appliances , medicine & vaccine , insurance of the farm animal , labour etc ]"
query regarding   a dog bitten by another dog ,"told him to wash the lacerated area with wokadine solution , spray topicure on the site , inject enrocin 15 ml -1-2 ml intra mascularly for 3 days , dexona 1 ml - inject 0.2 ml intra mascularly with the enrocin , inject zobid 10 ml[ sos] - 1 ml intra mascularly"
asking about plant protection of gourd,spray malathion @ 2gm/l of water @ 3 spray @ 5 days of interval
query regarding pesticide for tea garden.,visit district tea broad.
regarding fungal downy mildew in papaya and insect pest in lemon tree,"spray blitox 50 ec @ 2gm/litre water,2-3 sprays at an interval of 5 days in papaya
spray furadon thoroughly near the root zone of lemon tree"
regarding fungal infestation in tomato seedlings,"spray blitox 50 ec @ 2gm/litre water,2 sprays at an interval of 5 days"
regarding insect pest in rice,"spray flubendiamide(flame) @ 2ml/litre water,2-3 sprays at an interval of 5 days"
query regarding water pollution and removal of algal bloom.,"immediately stop the application of feed and fertilizers, apply lime (quick lime)-10-13 kg/bigha/month, use 4-5 ppm (mg/lit) potash to disinfected the pond water. "
asking that his one kid is suffering from high rise of temperature.,"tr.: 1. dexona tab. 2 no.s @ 1/2 tab orally twice daily, 2. cipro 500 mg 4 no.s @ 1/2 tab orally twice daily."
farmer asking query regarding kcc.	,"first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak. "
farmer asking query regarding control of stem borer in paddy field.,spray fame or corogen (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
"asking remedy for stem borer in rice
","spray fipronil 5 sc or flubendiamide (2ml/lit of water) @ 3 sprays at 5 days interval
"
asking about the control of fungal disease.,spray saaf @2gm/l water. spray 3 days at 3 days intervals.
farmer asking query regarding variety of cauliflower.,"variety: early kunwari, pusa katki, pusa deepali, pusa snowball."
regarding borax application in ber,apply borax @ 50gm/plant in ring method in the month of september
query regarding some duck showing the signns of unsteady gait,"told him to give groviplex / vitaplex 3 ml / 25 nos of ducklimngs for 6daya , hepaawin @ 3 ml / 25 nos of ducklings for 5 days , enrocin @ 1 g / lits of water for 3 days "
"
query regarding treatment of diseases of polluted water.
","apply lime (quick lime)-10-13 kg/bigha/month, use 4-5 ppm (mg/lit) potash to disinfected the pond water. to control smell of pond water use toximar 5kg/bigha."
farmer asking query regarding control of wilting in ridge gourd.,"first you have to do the ooze test - dip the affected part in a glass of water and keep it for 30 minutes. if ooze comes out and the water become yellowish white, then spray also apply tetracyclin/ streptocyclin (1gram/5 lit of water), near the root zone 3 times at 5 days interval and if ooze don’t show in the water, and the water remains clean then spray and also apply saaf (2 gram/lit of water) near the root zone 3 times at 5 days interval."
farmer asking query regarding control of earthworm.,dont kill the earthworms which are available in the field because earthworm is beneficial for soil and farming.
farmer asking query regarding control of root rot in betelvine.,spray boedeux mixture (3-4 ml/lit of water) @ 3 spray at 7 days interval in the evening time in the absence of rainfall.
farmer asking query regarding fertilizer dose of betelvine.,apply dap @ 40 kg/bigha and potash @ 22 kg/bigha. 
asking that his sow is unable to stand after furrowing.,"tr.: 1. dexona inj. 5ml @ 3,2 ml i/m ly daily, 2. c-flox/enrox inj. 10 ml @ 5 ml i/m ly daily, 3. neuroxin-12 10 ml @ 5 ml i/m ly daily. 4. ostovet 1 lit. @ 50 ml orally twice daily."
asking about the availability of seed.,"contact the agriculture departmnet , krishi vigyan kendra or seed store for availability."
asking about pumpkin variety,"pumpkin variety :  co 1, co 2, arka suryamuki and arka chandan."
asking about nutrients for pumpkin plant,nutrient for pumpkin plant : - npk mixture (19:19:19) @10gram/litre of water.
asking about the variety of tomato.,"variety : arka rakshak
"
asking that his pig has insaminated. he wants to about medicine to be fed.,"tr.: 1. ostovet 1 lit. @ 50 ml orally daily, 2. min-mix 1 kg @ 5 tsf orally daily."
query regarding bacterial treatment (pop eye disease),"apply 1ppm potash, mix 3gm of oxytetracyclin per kg feed for 8-10 days."
asking about the control of stem borer ,spray tricel of flubendiamide @2ml/l water. 3 spray at 3 days interval.
regarding stem borer infestation in rice,"spray flubendiamide @ 2gm/litre water,2 sprays at an interval of 5 days"
asking about the application of nutrients.,"spray planofix @2ml/4.5 l water 3 times at 7 days intervals. also, spray saaf/carboxin/bavistin @2gm/l water. 3 spray at 3 days interval."
farmer asking query regarding control of fungal infection in bottle gourd.,spray contaf (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
"asking remedy for stem borer in rice

",spray fipronil 5 sc or flubendiamide (2ml/lit of water) @ 3 sprays at 5 days interval
asking about the control of wilting.,spray saaf @2gm/l water. 3 spray at 3 days interval.
farmer asking query regarding control of stem borer in paddy.,spray matador or fame or corogen (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
"asking about pre-post emergent herbicide for vegetables
","spray metribuzin 70% wp (3ml/lit of water)
"
farmer asking query regarding control of wilting in tomato.,"first you have to do the ooze test - dip the affected part in a glass of water and keep it for 30 minutes. if ooze comes out and the water become yellowish white, then spray also apply tetracyclin/ streptocyclin (1gram/5 lit of water), near the root zone 3 times at 5 days interval and if ooze don’t show in the water, and the water remains clean then spray and also apply saaf (2 gram/lit of water) near the root zone 3 times at 5 days interval."
farmer asking query regarding control of leaf curl in bottle gourd.,spray decis or tafgor (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
farmer asking query regarding control of leaf curl in cow pea.,for cowpea: spray decis or tafgor (2ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
regarding insect infestation in paddy field,"spray flubendiamide @ 2ml/litre water,2 sprays at an interval of 5 days"
asking about the control of stem borer in paddy.,spray tricel 20 ec or emmamectin benzoate @2ml/l water.
query regarding vaccine for broiler & layer ," the main vaccine for broiler --marek's diseasevaccine [0 days]  ranikhet disease [f1], ranikhet disease [f2] - 6 days & 28 days respectively , infectious bursal disease [ ibd ] vaccine - 14th & 23 days respectively "
asking about application of antibiotic.,"spray streptomycin, tetracyclin @2gm/5 litre water. also spray carboxin or bavistin @2gm/l water."
 query regarding a goat showing the signs of torticollis after injestion of local grass ,"  told him to inject atropine sulphate 1 ml - sub cutanously , activated charcoal powder -20 g orally ,infuse  normal saline 200 ml [ 200 ml --3 nos ], inject a tetanus toxoid -intra mascularly "
asking about the beekeeping.,"contact the krishi vigyan kendra, dibrugarh."
asking that his 5-month old goat is suffering from fever and offed.,"tr.: 1. avil inj. 10 ml @ 2 ml i/m ly daily for 3 days, or avil tab. 4 no.s @ 1/2 tab. orally twice daily, 2. dexona inj. 5 ml @ 2 ml i/m ly daily for 2 days or dexona tab. 4 no.s @ 1/2 tab. orally twice daily, 3. c-flox 10 ml inj. @ 2 ml i/m ly daily for 4 days or c-flox 500 mg 4 no.s @ 1/2 tab. orally twice daily."
asking that his goat is suffering from fasioliasis.,"tr.: 1. zanide 200mg @ 1/2 tab at 3 days interval orally in empty stomach, 2. liv-52 200 ml @ 5 tsf orally twice daily."
farmer asking query regarding nutrient management in paddy.,top dress urea @ 4.5 kg/bigha.
asking about chilli leaf curl viral disease,--spray imidacholoroprid (1.5ml/lit of water) @ 3 sprays at 5 days interval
farmer asking query regarding seed rate of maize.,seed rate: 2.3-3 kg/bigha.
farmer asking query regarding control of bud drop in pumpkin.,apply borax @ 1.5 kg/bigha.
asking about cracking of friuts in banana,its a phiysological activity mainly happened when there is high relative humidity and kept in the plant for ripening. so harvest when the fruit are still green to promte ripening
regarding cultivation practice of squash,"apply fym @ 10kg,urea @ 100gm,ssp @ 120gm and mop @ 50gm per vine per year"
asking about the control of wilting in pumpkin.,spray carboxin or hexaconazole @2gm/l water. 3 spray at 3 days interval.
asking that his pig is suffering from dyspnoea and offed.,"tr.: 1. dexona inj. 2ml 2 no.s or 5ml 1 @ 2 ml i/m ly daily, 2. avil inj. 10 ml @ 4 ml i/m ly daily, 3. melonex plus 10 ml @ 4 ml i/m ly daily, 4. c-flox/enrox inj 10 ml @ 5 ml i/m ly daily."
query regarding pm kisan ,"told him to inject  enrocin 15 ml -3 ml intra mascularly for 5 days , inject melonex plus - 3 ml intra mascularly for 3 days , anigest 500 g - 20 g orally daily for 15 days inject nephepatex 2 ml intra mascularly every onalternate day for 6 days ---- inject mecabolamine 2 ml [ sos]"
