questions,answers,clean_question,clean_answer
asking about fruit fly infestation.,spray emmamectin benzoate @ 2ml/l water. 3 spray at 3 days interval against fruit fly.,What is fruit fly infestation.?,Spray emmamectin benzoate @ 2ml/l water. 3 spray at 3 days interval against fruit fly.
query regarding pmkisan.,your account is active.,What is pmkisan.?,Your account is active.
asking about pm fasal bima yojana registration,"--visit common service centre or district agriculture office with land documents, pan card, aadhar card and bank passbook for registration",What is pm fasal bima yojana registration?,"--visit common service centre or district agriculture office with land documents, pan card, aadhar card and bank passbook for registration"
query regarding fungal infection in chilli.,spray blitox fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.,What is fungal infection in chilli.?,Spray blitox fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.
asking about chilli leaf curl virus,burn the effected plants in a separate area and spray imidacloprid to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,What is chilli leaf curl virus?,Burn the effected plants in a separate area and spray imidacloprid to the plants 2ml/lit of water @ 3 sprays at 5 days interval
query regarding insect infestation in chilli.,spray cyperhit 25 ec @ 2 ml/liter 3 times at 5 days interval in the evening time in absence of rain.,What is insect infestation in chilli.?,Spray cyperhit 25 ec @ 2 ml/liter 3 times at 5 days interval in the evening time in absence of rain.
asking about application of nutrient in chillie.,spray mahaphal @2ml/l water or green harvest @2gm/l water. also spray rogor@2ml/l  against leaf curl.,What is application of nutrient in chillie.?,Spray mahaphal @2ml/l water or green harvest @2gm/l water. also spray rogor@2ml/l against leaf curl.
asking about application of nutrients during flowering stage.,spray mahaphal @ 2ml/l water and crop booster @2gm/l water during flowering stage.,What is application of nutrients during flowering stage.?,Spray mahaphal @ 2ml/l water and crop booster @2gm/l water during flowering stage.
query regarding fungal infection in coconut.,"remove the heavily affected plants from the field and then in the pit apply 200-300 gram lime powder. spray and apply hexaconazole 10ml/liter of water or copper oxychloride 3 gram/liter of water 3 times at 10 days interval in the affected plant portion near the root portion. after completion of this apply the recommended doses of fertilizer- urea 200 gram, super 240 gram, potash-280 gram, borax 25 gram and dry cowdung 10 kg per plant in 2 equal split dose once in the month of march/april and other in the month september/october .",What is fungal infection in coconut.?,"Remove the heavily affected plants from the field and then in the pit apply 200-300 gram lime powder. spray and apply hexaconazole 10ml/liter of water or copper oxychloride 3 gram/liter of water 3 times at 10 days interval in the affected plant portion near the root portion. after completion of this apply the recommended doses of fertilizer- urea 200 gram, super 240 gram, potash-280 gram, borax 25 gram and dry cowdung 10 kg per plant in 2 equal split dose once in the month of march/april and other in the month september/october ."
query regarding nutrient management in brinjal.,spray tata tracel @ 25g/10 liter of water 2 times at 15 days interval in the absence of rain.,What is nutrient management in brinjal.?,Spray tata tracel @ 25g/10 liter of water 2 times at 15 days interval in the absence of rain.
asking about remedy for fruit borer in pumpkin,--spray profex super (2ml/lit of water) @ 3 sprays at 5 days interval,What is remedy for fruit borer in pumpkin?,--spray profex super 2ml/lit of water @ 3 sprays at 5 days interval
asking about application of nutrients,"spray amister @2ml/l water or mahaphal @2ml/l water.
",What is application of nutrients?,Spray amister @2ml/l water or mahaphal @2ml/l water.
asking about chilli leaf curl virus,--burn the effected plants in a separate area and spray imidacloprid to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,What is chilli leaf curl virus?,--burn the effected plants in a separate area and spray imidacloprid to the plants 2ml/lit of water @ 3 sprays at 5 days interval
"asking about rotting
","spray blitox(2gm/lit of water) @ 3 sprays at 5 days interval
",What is rotting?,Spray blitox2gm/lit of water @ 3 sprays at 5 days interval
query regarding disease management of cow.,transfer to veterinary expert.,What is disease management of cow.?,Transfer to veterinary expert.
query regarding disease management of dog.,transfer to veterinary expert.,What is disease management of dog.?,Transfer to veterinary expert.
asking about blight in cucumber,spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval,What is blight in cucumber?,Spray saaf 2gm/lit of water @ 3 sprays at 5 days interval
query regarding seed rate of dhaincha.,seed rate: 1-1.5 kg/bigha.,What is seed rate of dhaincha.?,Seed rate: 1-1.5 kg/bigha.
asking that his goats are suffering from conjunctival ecthyma.,tr.: 1. avil tab. 2. c-flox 500mg tab.,Asking that his goats are suffering from conjunctival ecthyma.?,Tr.: 1. avil tab. 2. c-flox 500mg tab.
regarding fungal rot in brinjal,"spray bavistin @ 2gm/litre water,3 sprays at an interval of 5 days",Regarding fungal rot in brinjal?,"Spray bavistin @ 2gm/litre water,3 sprays at an interval of 5 days"
asking about application of plant nutrients.,spray planofix @2ml/4.5l water. one spray once in a week ,What is application of plant nutrients.?,Spray planofix @2ml/4.5l water. one spray once in a week
"asking about rotting in lemon

",--spray saaf or indofil (2g m/lit of water) @ 3 sprays at 5 days interval and remove the effected parts from the main field,What is rotting in lemon?,--spray saaf or indofil 2g m/lit of water @ 3 sprays at 5 days interval and remove the effected parts from the main field
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
regarding leaf curl disease in chilli,"discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days",Regarding leaf curl disease in chilli?,"Discard the infected plant parts,burn them far away from the field and then spray rogor @ 2ml/litre water,3 sprays at an interval of 5 days"
query regarding insect infestation in cucumber.,spray tafgor (dimethoate 30 ec) (2ml/lit of water) @ 3 spray at 5 days interval.,What is insect infestation in cucumber.?,Spray tafgor dimethoate 30 ec 2ml/lit of water @ 3 spray at 5 days interval.
asking about control of wilt ,spray saaf@2gm/l water or hexaconazole @2ml/l water.,What is control of wilt?,Spray saaf@2gm/l water or hexaconazole @2ml/l water.
query regarding vaccine quality.,return it.,What is vaccine quality.?,Return it.
asking about pm kisan samman nidhi yojona,--visit district agriculture office for farmer verification ,What is pm kisan samman nidhi yojona?,--visit district agriculture office for farmer verification
query regarding pmkisan.,please visit your nearest agriculture office for further enquiry.,What is pmkisan.?,Please visit your nearest agriculture office for further enquiry.
query regarding control of trunk borer in citrus.,"spray acephate 75 sp or carbaryl 2ml/2 gram per liter of water 3 times at 5 days interval in the evening time and then block the holes with cotton plug deep in kerosene. after that smearing of carbaryl with lime and water (3 gram carbaryl/liter of water) should be applied upto one meter from the base of the tree, which prevent the adult from laying eggs.",What is control of trunk borer in citrus.?,"Spray acephate 75 sp or carbaryl 2ml/2 gram per liter of water 3 times at 5 days interval in the evening time and then block the holes with cotton plug deep in kerosene. after that smearing of carbaryl with lime and water 3 gram carbaryl/liter of water should be applied upto one meter from the base of the tree, which prevent the adult from laying eggs."
asking about control of leaf curl in chili,"spray thiomethoxam @2gm/l water as insecticide.
also spray saaf or amister @2ml/l water.",What is control of leaf curl in chili?,Spray thiomethoxam @2gm/l water as insecticide. also spray saaf or amister @2ml/l water.
asking about chilli leaf curl virus,burn the effected plants in a separate area and spray imidacloprid to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,What is chilli leaf curl virus?,Burn the effected plants in a separate area and spray imidacloprid to the plants 2ml/lit of water @ 3 sprays at 5 days interval
regarding varieties of drumstick,pkm1 and pkm2 varieties can be grown,Regarding varieties of drumstick?,Pkm1 and pkm2 varieties can be grown
asking about fruit drop,--apply borax,What is fruit drop?,--apply borax
query regarding insect infestation in pumpkin.,spray neem oil @ 5 ml/liter 3 times at 5 days interval.,What is insect infestation in pumpkin.?,Spray neem oil @ 5 ml/liter 3 times at 5 days interval.
query regarding  a three-month-old pig showing thew signs of lameness ," told him to inject enrodac - 10 ml -1,5 ml intra mascularly for 3 days , inject dexona 1 ml - 0.2 ml i/ m ly for 3 days , inject pepsid 10 ml - 2 ml intra mascularly every on alternate day 

",What is a three-month-old pig showing thew signs of lameness?,"Told him to inject enrodac - 10 ml -1,5 ml intra mascularly for 3 days , inject dexona 1 ml - 0.2 ml i/ m ly for 3 days , inject pepsid 10 ml - 2 ml intra mascularly every on alternate day"
query regarding pmkisan.,please visit your nearest agriculture office for further enquiry.,What is pmkisan.?,Please visit your nearest agriculture office for further enquiry.
asking about the application of urea,use iffco nanao urea @5ml/l water. spray during the flowering stage of the crop.,What is the application of urea?,Use iffco nanao urea @5ml/l water. spray during the flowering stage of the crop.
asking that his goat is suffering.,tr.: cipro 200mg 10 no.s @ 1/2 tab orally twice daily.,Asking that his goat is suffering.?,Tr.: cipro 200mg 10 no.s @ 1/2 tab orally twice daily.
query regarding pmfby.,please visit your nearest agriculture office for further enquiry.,What is pmfby.?,Please visit your nearest agriculture office for further enquiry.
asking about source of fish seeds for farming ,"please visit district fisheries office, there are many schemes for fish seed distribution and financial support for new pond recunstruction and renoivation of pond. 
rkvy, nfdb, nabard, kcc,etc are some of the schemes",What is source of fish seeds for farming?,"Please visit district fisheries office, there are many schemes for fish seed distribution and financial support for new pond recunstruction and renoivation of pond. rkvy, nfdb, nabard, kcc,etc are some of the schemes"
"asking about pm kisan samman nidhi yojona
",visit district agriculture office as your account is deactivated,What is pm kisan samman nidhi yojona?,Visit district agriculture office as your account is deactivated
asking about chilli disease,"--burn the effected plants in a separate area and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval

",What is chilli disease?,--burn the effected plants in a separate area and spray rogor to the plants 2ml/lit of water @ 3 sprays at 5 days interval
asking about leaf curl virus of chilli,burn the effected plants in a separate area and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,What is leaf curl virus of chilli?,Burn the effected plants in a separate area and spray rogor to the plants 2ml/lit of water @ 3 sprays at 5 days interval
asking that his local chicks are suffering.,1. tetracyclin poder 100gm pkt.@ 1 gm in 1 lit. water for 7 days. 2. vimeral 60 ml @ 10 ml orally daily.,Asking that his local chicks are suffering.?,1. tetracyclin poder 100gm pkt.@ 1 gm in 1 lit. water for 7 days. 2. vimeral 60 ml @ 10 ml orally daily.
"asking about chilli leaf curl virus

",--burn the effected plants in a separate area and spray imidachloroprid to the plants (0.5gm/lit of water) @ 3 sprays at 5 days interval,What is chilli leaf curl virus?,--burn the effected plants in a separate area and spray imidachloroprid to the plants 0.5gm/lit of water @ 3 sprays at 5 days interval
tell me information drum stick  cultivation   ?,सहजन की फसल में बीजो की रोपाई के लिए शाखा के दोनों टुकड़ो का प्रबर्द्धन करना चाहिए | वर्ष में दो बार फसल को प्राप्त करने के लिए बीज से प्रबर्द्धन करना उपयुक्त माना जाता है |,Tell me information drum stick cultivation?,
how to apply fertilizer dose in arecanut,apply the mixture of fertilizers including borax in ring method at a distance of 2ft,What is the best way to apply fertilizer dose in arecanut?,Apply the mixture of fertilizers including borax in ring method at a distance of 2ft
asking for veterinary expert.,transfer to veterinary expert.,Asking for veterinary expert.?,Transfer to veterinary expert.
query regarding liver tonic for pig.,liv-52.,What is liver tonic for pig.?,Liv-52.
query regarding insect infestation in chilli.,spray profex super (2ml/lit of water) @ 3 spray at 5 days interval.,What is insect infestation in chilli.?,Spray profex super 2ml/lit of water @ 3 spray at 5 days interval.
asking about control of pest infestation.,spray profex super @2ml/l water. 3 spray at 3 days interval.,What is control of pest infestation.?,Spray profex super @2ml/l water. 3 spray at 3 days interval.
query regarding fungal infection in chilli.,spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain.,What is fungal infection in chilli.?,Spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain.
asking about ridge gourd infestation,burn the infected fruits and spray rogor to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,What is ridge gourd infestation?,Burn the infected fruits and spray rogor to the plants 2ml/lit of water @ 3 sprays at 5 days interval
"asking about powdery mildew in mustard

",spray blitox (2gm/lit of water) @ 3 sprays at 5 days interval,What is powdery mildew in mustard?,Spray blitox 2gm/lit of water @ 3 sprays at 5 days interval
query regarding chilli,spray pegasus @ 2g/liter 3 times at 5 days interval in the evening time in the absence of rain.,What is chilli?,Spray pegasus @ 2g/liter 3 times at 5 days interval in the evening time in the absence of rain.
asking about alternative  of tilt fungicides,suggested composition of propiconazole or hexaconazole  @ 2gm/l of water,What is alternative of tilt fungicides?,Suggested composition of propiconazole or hexaconazole @ 2gm/l of water
asking about nutrient management in arecanut ,"suggested to apply urea-200 g ssp-300 g, mop-150 g borax-50 g per plant by making a ring at a distance of 1 ft around the base of the plam",What is nutrient management in arecanut?,"Suggested to apply urea-200 g ssp-300 g, mop-150 g borax-50 g per plant by making a ring at a distance of 1 ft around the base of the plam"
asking for plant protection of gourd,do ooze test (dip the effected part in a glass of water and keep for 45 minutees). if ooze comes out then spray streptomycin (1ml/5 lit of water) @ 3 sprays at 5 days interval and if ooze don’t show in the water then spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval,Asking for plant protection of gourd?,Do ooze test dip the effected part in a glass of water and keep for 45 minutees. if ooze comes out then spray streptomycin 1ml/5 lit of water @ 3 sprays at 5 days interval and if ooze dont show in the water then spray saaf 2gm/lit of water @ 3 sprays at 5 days interval
asking for planting distance of coconut,"coconut planting distance = 7m x 7m, pit size= 1m x 1m x 1m . pit should be filled with top soil and dry cowdung and 100g 5% malathion dust. fertilizer should be given at  1.5 m away from the plant,",Asking for planting distance of coconut?,"Coconut planting distance  7m x 7m, pit size 1m x 1m x 1m . pit should be filled with top soil and dry cowdung and 100g 5 malathion dust. fertilizer should be given at 1.5 m away from the plant,"
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days ","What is ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus  1/2 bolus orally -- but condition is not subside?","Told him to give sulcoprim 1 bolus orally in morning hour , followed by marcozyl -m, in the evening hours . inject fortious 10 ml  dexona 1 ml for 3 days"
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days ","What is ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus  1/2 bolus orally -- but condition is not subside?","Told him to give sulcoprim 1 bolus orally in morning hour , followed by marcozyl -m, in the evening hours . inject fortious 10 ml  dexona 1 ml for 3 days"
" query regarding ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus [ 1/2 bolus orally] -- but condition is not subside "," told him to give sulcoprim 1 bolus orally in morning hour  , followed by marcozyl -m, in the evening hours . inject fortious 10 ml & dexona 1 ml for 3 days ","What is ayearling showing the signs of dyscentary , according to the owner he used sulcoprim bolus  1/2 bolus orally -- but condition is not subside?","Told him to give sulcoprim 1 bolus orally in morning hour , followed by marcozyl -m, in the evening hours . inject fortious 10 ml  dexona 1 ml for 3 days"
farmer asking query regarding control of blight in betelvine.,spray or also apply near the root zone bordeux mixture @ 3ml/liter 3 times at 5 days interval in the evening time in absence of rain.,Farmer asking what is control of blight in betelvine.?,Spray or also apply near the root zone bordeux mixture @ 3ml/liter 3 times at 5 days interval in the evening time in absence of rain.
asking that his 8-month old goat is suffering from skin disease.,"tr.: 1. neomec inj. 1 ml i/m ly, 2. avil inj. 10 ml @ 2 ml i/m ly daily for 3 days, 3. enrox inj. 10 ml @ 3 ml i/m ly daily for 3 days.",Asking that his 8-month old goat is suffering from skin disease.?,"Tr.: 1. neomec inj. 1 ml i/m ly, 2. avil inj. 10 ml @ 2 ml i/m ly daily for 3 days, 3. enrox inj. 10 ml @ 3 ml i/m ly daily for 3 days."
asking that her ducks are suffering.,"tr.: 1. dexona tab. 10. 2. cipro tab. 3. neurobion tab, 4. sulcoprim bl.4 no.s @ 1 bl. orally twice daily.",Asking that her ducks are suffering.?,"Tr.: 1. dexona tab. 10. 2. cipro tab. 3. neurobion tab, 4. sulcoprim bl.4 no.s @ 1 bl. orally twice daily."
farmer asking query regarding control of leaf curl in chilli.,spray tafgor/decis 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain.  sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end.,Farmer asking what is control of leaf curl in chilli.?,Spray tafgor/decis 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain. sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end.
asking for application of mahafol,spray mohafol (2gm/lit of water) @ 2 sprays at 15 days interval,Asking for application of mahafol?,Spray mohafol 2gm/lit of water @ 2 sprays at 15 days interval
farmer asking query regarding pmkisan.,11th number installment is not released till now from govt.,Farmer asking what is pmkisan.?,11th number installment is not released till now from govt.
asking about vitamin for pumpkin,--spray planofix (1ml/5lit of water) @ 2 sprays at 15 days interval and  npk19all (10gm/lit of water) @ 2 sprays at 15 days interval,What is vitamin for pumpkin?,--spray planofix 1ml/5lit of water @ 2 sprays at 15 days interval and npk19all 10gm/lit of water @ 2 sprays at 15 days interval
farmer asking query regarding control of leaf curl and yellowing of leaves.,"for leafcurl: spray tafgor (dimethoate 30 ec) (2ml/lit of water) @ 3 spray at 5 days interval.
for fungal infection: spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain.",Farmer asking what is control of leaf curl and yellowing of leaves.?,For leafcurl: spray tafgor dimethoate 30 ec 2ml/lit of water @ 3 spray at 5 days interval. for fungal infection: spray amister fungicide @ 1 ml/liter 3 times at 5 days interval in absence of rain.
query regarding disease management of pig.,"advise: 1. swine fever vaccine, 2. albendazole suspension 30 ml 5no.s @ 30 ml to larg, 15 ml to small, orally in empty stomach, 3. liv-52 1 lit. @ 50 ml to large, 10 ml to small, orally daily.",What is disease management of pig.?,"Advise: 1. swine fever vaccine, 2. albendazole suspension 30 ml 5no.s @ 30 ml to larg, 15 ml to small, orally in empty stomach, 3. liv-52 1 lit. @ 50 ml to large, 10 ml to small, orally daily."
"asking about blight in brinjal
","spray saaf (2gm/lit of water) @ 3 sprays at 5 days interval
",What is blight in brinjal?,Spray saaf 2gm/lit of water @ 3 sprays at 5 days interval
asking about control of fruit fly infestation.,spray emmamectin benzoate @2ml/l water. 3 spray at 3 days interval.,What is control of fruit fly infestation.?,Spray emmamectin benzoate @2ml/l water. 3 spray at 3 days interval.
farmer asking query regarding control of fungal infection in papaya.,spray contaf fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.,Farmer asking what is control of fungal infection in papaya.?,Spray contaf fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.
farmer asking query regarding pmkisan.,either details are not registered in the portal or rejected due to wrong details.,Farmer asking what is pmkisan.?,Either details are not registered in the portal or rejected due to wrong details.
farmer asking query regarding pmkisan.,either details are not registered in the portal or rejected due to wrong details.,Farmer asking what is pmkisan.?,Either details are not registered in the portal or rejected due to wrong details.
asked about fish feed and manure for plankton production,"feed for new fish or young fish - rice bran: mustard oil cake @ 1:1- 3% to 5 % per body weight of fish
feed after few months(during growth) - use supplimentary or artificial feed depending on the mouth size of fish @ 35 to 5% per body weight
manuring or fertilization - cowdung @ 130 kg per bigha per month or pig manure @ 60 kg per bigha per month depending on the water colour. followed by urea @ 3.5 kg and ssp @ 2.6 kg per bigha per month after 7 days of application of cowdung or pig manure
 green water colour - fertilization required 
for now use ",Asked about fish feed and manure for plankton production?,Feed for new fish or young fish - rice bran: mustard oil cake @ 1:1- 3 to 5  per body weight of fish feed after few monthsduring growth - use supplimentary or artificial feed depending on the mouth size of fish @ 35 to 5 per body weight manuring or fertilization - cowdung @ 130 kg per bigha per month or pig manure @ 60 kg per bigha per month depending on the water colour. followed by urea @ 3.5 kg and ssp @ 2.6 kg per bigha per month after 7 days of application of cowdung or pig manure green water colour - fertilization required for now use
farmer asking query regarding pmkisan.,your account is active.,Farmer asking what is pmkisan.?,Your account is active.
farmer asking query regarding pmkisan.,11th number installment is not release by govt. yill now.,Farmer asking what is pmkisan.?,11th number installment is not release by govt. yill now.
query regarding pm kisan.,--visit dist. agri. office.,What is pm kisan.?,--visit dist. agri. office.
asking that his birds are suffering.,tr.: ambiplex 1 lit. @ 100 ml orally daily.,Asking that his birds are suffering.?,Tr.: ambiplex 1 lit. @ 100 ml orally daily.
asking about control measure of fusarium wilt,suggested to spray agrimycine @ 1 g per 5 lit of water and also spray copper oxy chloride @ 2 g per lit of water,What is control measure of fusarium wilt?,Suggested to spray agrimycine @ 1 g per 5 lit of water and also spray copper oxy chloride @ 2 g per lit of water
asking about control of wilt,spray upl saaf @2gm/l water. 3 spray at 3 days interval.,What is control of wilt?,Spray upl saaf @2gm/l water. 3 spray at 3 days interval.
query regarding control of insect infestation in brinjal.,in flowering and fruiting stage if this disease is occur then spray neem oil 5ml/liter of water 3 times @ 3 days interval in the evening time.,What is control of insect infestation in brinjal.?,In flowering and fruiting stage if this disease is occur then spray neem oil 5ml/liter of water 3 times @ 3 days interval in the evening time.
farmer asking query regarding control of flower drop in cardamom.,spray planofix (1ml/5lit of water) @ 2 sprays at 15 days interval.,Farmer asking what is control of flower drop in cardamom.?,Spray planofix 1ml/5lit of water @ 2 sprays at 15 days interval.
farmer asking query regarding control of insect in bitter gourd.,spray tafgor (dimethoate 30 ec) (2ml/lit of water) @ 3 spray at 5 days interval.,Farmer asking what is control of insect in bitter gourd.?,Spray tafgor dimethoate 30 ec 2ml/lit of water @ 3 spray at 5 days interval.
asking about control measure of wilt,suggested to spray agrimycine @ 1 g per 5 lit of water and also saaf @ 2 g per lit of water,What is control measure of wilt?,Suggested to spray agrimycine @ 1 g per 5 lit of water and also saaf @ 2 g per lit of water
asking for disease of bhoot jolokia,--spray trichoderma viridae at root zone for better effective @ 2gm/l of water @ 3 spray @ 5 days interval,Asking for disease of bhoot jolokia?,--spray trichoderma viridae at root zone for better effective @ 2gm/l of water @ 3 spray @ 5 days interval
regarding sowing time for maize,the optimum planting date is between 15th march and 15th may,Regarding sowing time for maize?,The optimum planting date is between 15th march and 15th may
regarding cultivable varieties of cowpea,"varieties of cowpea introduced by east west seeds,syngenta are preferable",Regarding cultivable varieties of cowpea?,"Varieties of cowpea introduced by east west seeds,syngenta are preferable"
farmer asking query regarding control of wilting in chilli.,"first you have to do the ooze test - dip the affected part in a glass of water and keep it for 30 minutes. if ooze comes out and the water become yellowish white, then spray also apply tetracyclin/ streptocyclin (1gram/5 lit of water), near the root zone 3 times at 5 days interval and if ooze don’t show in the water, and the water remains clean then spray and also apply saaf (2 gram/lit of water) near the root zone 3 times at 5 days interval.",Farmer asking what is control of wilting in chilli.?,"First you have to do the ooze test - dip the affected part in a glass of water and keep it for 30 minutes. if ooze comes out and the water become yellowish white, then spray also apply tetracyclin/ streptocyclin 1gram/5 lit of water, near the root zone 3 times at 5 days interval and if ooze dont show in the water, and the water remains clean then spray and also apply saaf 2 gram/lit of water near the root zone 3 times at 5 days interval."
regarding sowing time of bahadur sub-1,sowing time of bahadur sub-1 - june and transplantation can be done after 30-35 days of sowing,Regarding sowing time of bahadur sub-1?,Sowing time of bahadur sub-1 - june and transplantation can be done after 30-35 days of sowing
asking for crop protection against catterpillar like pest,fame or emmamectin benzoate @ 1.5ml/lit of water @ 3 spray at 5 days interval,Asking for crop protection against catterpillar like pest?,Fame or emmamectin benzoate @ 1.5ml/lit of water @ 3 spray at 5 days interval
asking about control measure of fusarium wilt and rice variety for flooded condition ,suggested to spray saaf @ 2 g per lit of water twice after 3 days interval for fusarium wilt and also go for ranjit sub 1 or swarna sub 1 variety which are best suited for flooded condition in assam,What is control measure of fusarium wilt and rice variety for flooded condition?,Suggested to spray saaf @ 2 g per lit of water twice after 3 days interval for fusarium wilt and also go for ranjit sub 1 or swarna sub 1 variety which are best suited for flooded condition in assam
asking about control measure of green peach aphid,suggested to spray rogor @ 2 ml per lit of water twice after 3 days interval,What is control measure of green peach aphid?,Suggested to spray rogor @ 2 ml per lit of water twice after 3 days interval
query regarding availability of govt. supplied tractor.,please visit your nearest agriculture office for further enquiry.,What is availability of govt. supplied tractor.?,Please visit your nearest agriculture office for further enquiry.
"asking that his 1, 3-month old piglet is suffering from offed. ","tr.: 1. dexona inj. 5ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. feroliv 200 ml @ 10 ml orally twice daily.4. vimeral 60 ml @ 5 ml orally daily.","Asking that his 1, 3-month old piglet is suffering from offed.?","Tr.: 1. dexona inj. 5ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. feroliv 200 ml @ 10 ml orally twice daily.4. vimeral 60 ml @ 5 ml orally daily."
asking about the cercospora leaf spot ,"spray amister @2ml/l water. also, spray pgr planofix @2ml/4.5l water.",What is the cercospora leaf spot?,"Spray amister @2ml/l water. also, spray pgr planofix @2ml/4.5l water."
asking about dose of amistar syngenta,spray amistar @ 2ml/l water. 3 spray at 3 days interval.,What is dose of amistar syngenta?,Spray amistar @ 2ml/l water. 3 spray at 3 days interval.
asking about control measure of little leaf and fruit rot,suggested spray rogor @ 2 ml per lit of water for little leaf and saaf @ 2 g per lit of water for fruit rot twice after 5 days interval,What is control measure of little leaf and fruit rot?,Suggested spray rogor @ 2 ml per lit of water for little leaf and saaf @ 2 g per lit of water for fruit rot twice after 5 days interval
asking about rice variety suitable for flooded condition ,suggested to go for ranjit sub 1 or swarna sub 1 which is suitable for floded condition ,What is rice variety suitable for flooded condition?,Suggested to go for ranjit sub 1 or swarna sub 1 which is suitable for floded condition
"asking that his 1-month old calf is suffering from diarrhea, offed.","tr.: 1. avil inj.10ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. vita-ad3e inj. 5 ml 2 no.s @ 2 ml i/m ly at alt. day. 4. liv-52 500 ml @ 10 ml orally twice daily.","Asking that his 1-month old calf is suffering from diarrhea, offed.?","Tr.: 1. avil inj.10ml @ 2 ml i/m ly daily, 2. enrox inj. 10 ml @ 2 ml i/m ly daily, 3. vita-ad3e inj. 5 ml 2 no.s @ 2 ml i/m ly at alt. day. 4. liv-52 500 ml @ 10 ml orally twice daily."
asking about nutrient deficiency in ber,suggested to spray tracel @ 2 g per lit of water twice after 15 days interval ,What is nutrient deficiency in ber?,Suggested to spray tracel @ 2 g per lit of water twice after 15 days interval
asking for mushroom,--please visit krishi vigyan kendra in your nearest locality for further information and demonstration,Asking for mushroom?,--please visit krishi vigyan kendra in your nearest locality for further information and demonstration
asking for plant protection of okra,spray imidacloprid @ 1.5 ml/l of water @ 3 spray @ 5 days of interval,Asking for plant protection of okra?,Spray imidacloprid @ 1.5 ml/l of water @ 3 spray @ 5 days of interval
